"dur"   "sex"   "subj"   "event"
 4   "1"   "1"    TRUE
24   "1"   "1"   FALSE
11   "1"   "1"    TRUE
 1   "1"   "1"    TRUE
 8   "1"   "1"    TRUE
18   "1"   "1"    TRUE
12   "1"   "1"    TRUE
12   "1"   "1"    TRUE
 3   "1"   "1"    TRUE
13   "1"   "1"    TRUE
20   "1"   "1"    TRUE
24   "1"   "1"   FALSE
 5   "1"   "1"    TRUE
18   "1"   "1"    TRUE
21   "1"   "1"    TRUE
 9   "1"   "1"    TRUE
13   "1"   "1"    TRUE
 7   "1"   "1"    TRUE
 7   "1"   "1"    TRUE
 8   "1"   "1"    TRUE
 7   "1"   "1"    TRUE
12   "1"   "1"    TRUE
 9   "1"   "1"    TRUE
18   "1"   "1"    TRUE
18   "1"   "1"    TRUE
11   "1"   "1"    TRUE
13   "1"   "1"    TRUE
 6   "1"   "1"    TRUE
15   "1"   "1"    TRUE
14   "1"   "1"    TRUE
 6   "1"   "1"    TRUE
13   "1"   "1"    TRUE
12   "1"   "1"    TRUE
16   "1"   "1"    TRUE
24   "1"   "1"   FALSE
20   "1"   "1"    TRUE
 7   "1"   "1"    TRUE
20   "1"   "1"    TRUE
17   "1"   "1"    TRUE
 6   "1"   "1"    TRUE
 8   "1"   "2"    TRUE
22   "1"   "2"    TRUE
17   "1"   "2"    TRUE
 7   "1"   "2"    TRUE
13   "1"   "2"    TRUE
14   "1"   "2"    TRUE
19   "1"   "2"    TRUE
 6   "1"   "2"    TRUE
20   "1"   "2"    TRUE
14   "1"   "2"    TRUE
11   "1"   "2"    TRUE
23   "1"   "2"    TRUE
 8   "1"   "2"    TRUE
24   "1"   "2"   FALSE
21   "1"   "2"    TRUE
17   "1"   "2"    TRUE
10   "1"   "2"    TRUE
11   "1"   "2"    TRUE
22   "1"   "2"    TRUE
 5   "1"   "2"    TRUE
24   "1"   "2"   FALSE
14   "1"   "2"    TRUE
11   "1"   "2"    TRUE
19   "1"   "2"    TRUE
24   "1"   "2"   FALSE
15   "1"   "2"    TRUE
13   "1"   "2"    TRUE
20   "1"   "2"    TRUE
 7   "1"   "2"    TRUE
 4   "1"   "2"    TRUE
21   "1"   "2"    TRUE
16   "1"   "2"    TRUE
